Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> APM: [MLAgent] S: 5253851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5292750 A: 5292789
APM: [MLAgent] S: 5292851 A: 5292889
APM: [MLAgent] S: 5292950 A: 5292990
APM: [MLAgent] S: 5293050 A: 5293090
APM: [MLAgent] S: 5293150 A: 5293189
APM: [MLAgent] S: 5293250 A: 5293289
APM: [MLAgent] S: 5293350 A: 5293390
APM: [MLAgent] S: 5293451 A: 5293489
APM: [MLAgent] S: 5293550 A: 5293590
APM: [MLAgent] S: 5293650 A: 5293689
APM: [MLAgent] S: 5293751 A: 5293789
APM: [MLAgent] S: 5293850 A: 5293889
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5293950 A: 5293989
APM: [MLAgent] S: 5294051 A: 5294090
APM: [MLAgent] S: 5294150 A: 5294189
APM: [MLAgent] S: 5294250 A: 5294289
APM: [MLAgent] S: 5294350 A: 5294389
APM: [MLAgent] S: 5294450 A: 5294489
APM: [MLAgent] S: 5294550 A: 5294589
APM: [MLAgent] S: 5294651 A: 5294689
APM: [MLAgent] S: 5294750 A: 5294789
APM: [MLAgent] S: 5294850 A: 5294889
APM: [MLAgent] S: 5294951 A: 5294989
APM: [MLAgent] S: 5295050 A: 5295089
APM: [MLAgent] S: 5295150 A: 5295189
APM: [MLAgent] S: 5295251 A: 5295289
APM: [MLAgent] S: 5295350 A: 5295389
APM: [MLAgent] S: 5295450 A: 5295489
APM: [MLAgent] S: 5295550 A: 5295589
APM: [MLAgent] S: 5295650 A: 5295669
APM: [MLAgent] S: 5295750 A: 5295789
APM: [MLAgent] S: 5295851 A: 5295889
APM: [MLAgent] S: 5295950 A: 5295989
APM: [MLAgent] S: 5296050 A: 5296089
APM: [MLAgent] S: 5296151 A: 5296189
APM: [MLAgent] S: 5296250 A: 5296290
APM: [MLAgent] S: 5296350 A: 5296389
APM: [MLAgent] S: 5296451 A: 5296489
APM: [MLAgent] S: 5296550 A: 5296590
APM: [MLAgent] S: 5296650 A: 5296689
APM: [MLAgent] S: 5296751 A: 5296789
APM: [MLAgent] S: 5296850 A: 5296889
APM: [MLAgent] S: 5296950 A: 5296989
APM: [MLAgent] S: 5297051 A: 5297089
APM: [MLAgent] S: 5297150 A: 5297189
APM: [MLAgent] S: 5297250 A: 5297289
APM: [MLAgent] S: 5297351 A: 5297390
APM: [MLAgent] S: 5297450 A: 5297489
APM: [MLAgent] S: 5297550 A: 5297589
APM: [MLAgent] S: 5297651 A: 5297689
Received 1046 parameters
Saved 1046 parameters to mav.parm
APM: [MLAgent] S: 5297750 A: 5297789
APM: [MLAgent] S: 5297850 A: 5297890
APM: [MLAgent] S: 5297951 A: 5297989
APM: [MLAgent] S: 5298050 A: 5298089
APM: [MLAgent] S: 5298150 A: 5298189
APM: [MLAgent] S: 5298251 A: 5298289
APM: [MLAgent] S: 5298350 A: 5298389
APM: [MLAgent] S: 5298450 A: 5298490
APM: [MLAgent] S: 5298550 A: 5298590
APM: [MLAgent] S: 5298650 A: 5298689
APM: [MLAgent] S: 5298750 A: 5298790
APM: [MLAgent] S: 5298851 A: 5298889
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5298950 A: 5298969
APM: [MLAgent] S: 5299050 A: 5299089
APM: [MLAgent] S: 5299151 A: 5299189
APM: [MLAgent] S: 5299250 A: 5299269
APM: [MLAgent] S: 5299351 A: 5299390
APM: [MLAgent] S: 5299451 A: 5299490
APM: [MLAgent] S: 5299550 A: 5299569
APM: [MLAgent] S: 5299650 A: 5299689
APM: [MLAgent] S: 5299751 A: 5299789
APM: [MLAgent] S: 5299850 A: 5299889
APM: [MLAgent] S: 5299950 A: 5299989
APM: [MLAgent] S: 5300051 A: 5300089
APM: [MLAgent] S: 5300150 A: 5300169
APM: [MLAgent] S: 5300250 A: 5300289
APM: [MLAgent] S: 5300351 A: 5300389
APM: [MLAgent] S: 5300450 A: 5300489
APM: [MLAgent] S: 5300550 A: 5300589
APM: [MLAgent] S: 5300651 A: 5300690
APM: [MLAgent] S: 5300750 A: 5300789
APM: [MLAgent] S: 5300850 A: 5300889
APM: [MLAgent] S: 5300951 A: 5300989
APM: [MLAgent] S: 5301050 A: 5301089
APM: [MLAgent] S: 5301150 A: 5301189
APM: [MLAgent] S: 5301251 A: 5301289
APM: [MLAgent] S: 5301350 A: 5301389
APM: [MLAgent] S: 5301450 A: 5301489
APM: [MLAgent] S: 5301551 A: 5301589
APM: [MLAgent] S: 5301650 A: 5301689
APM: [MLAgent] S: 5301750 A: 5301789
APM: [MLAgent] S: 5301851 A: 5301889
APM: [MLAgent] S: 5301950 A: 5301989
APM: [MLAgent] S: 5302050 A: 5302089
APM: [MLAgent] S: 5302151 A: 5302189
APM: [MLAgent] S: 5302250 A: 5302269
APM: [MLAgent] S: 5302350 A: 5302389
APM: [MLAgent] S: 5302451 A: 5302489
APM: [MLAgent] S: 5302550 A: 5302570
APM: [MLAgent] S: 5302650 A: 5302689
APM: [MLAgent] S: 5302751 A: 5302789
APM: [MLAgent] S: 5302850 A: 5302890
APM: [MLAgent] S: 5302950 A: 5302989
APM: [MLAgent] S: 5303051 A: 5303089
APM: [MLAgent] S: 5303150 A: 5303189
APM: [MLAgent] S: 5303250 A: 5303289
APM: [MLAgent] S: 5303350 A: 5303389
